Table,Category
1,WiC: Best Digital Humanities Hack
2,WiC: Innovation that Excites Hack
3,WiC: Best UI/UX Hack
4,WiC: Wacky Happy Hack
5,WiC: Best Women and Gender Hack
6,WiC: Failure to Launch
7,Fidelity: Most Innovative
8,M&T Tech: Best UI/UX
9,MLH: Best Domain Name from Domain.com
10,MLH: Most Creative Use of GitHub
11,Simone Center: Most viable commercial or social hack
12,WiC: Best Women and Gender Hack
13,WiC: Wacky Happy Hack
14,M&T Tech: Best UI/UX
15,MLH: Best Domain Name from Domain.com
16,Fidelity: Most Innovative